PRT_ID,AREA,INT_SQFT,DATE_SALE,DIST_MAINROAD,N_BEDROOM,N_BATHROOM,N_ROOM,SALE_COND,PARK_FACIL,DATE_BUILD,BUILDTYPE,UTILITY_AVAIL,STREET,MZZONE,REG_FEE,COMMIS,SALES_PRICE
P02558,Karapakkam,851,11/9/2011,105,1,1,2,Partial,No,18-09-1982,House,AllPub,No Access,C,167896,39295,3572250
P09483,T Nagar,1882,18-11-2006,189,2,1,5,AbNormal,Yes,23-11-1985,Others,ELO,Gravel,RM,433393,272877,16051580
P06006,Anna Nagar,1710,12/11/2009,15,1,1,4,Normal Sale,Yes,15-11-1998,Commercial,AllPub,Gravel,RH,808639,161728,20215970
P04106,Karapakkam,1412,6/11/2010,28,2,2,4,AdjLand,No,13-11-1982,House,ELO,Gravel,RL,251370,192717,8379000
P09556,Adyar,779,12/10/2006,51,1,1,2,Normal Sale,No,14-10-1997,House,NoSewr ,No Access,C,190463,31744,5290635
P00389,T Nagar,1655,21-05-2014,19,1,1,4,AbNormal,No,29-05-1980,Others,AllPub,Gravel,RH,376468,238430,12548930
P05245,Karapakkam,940,3/4/2010,167,1,1,3,AdjLand,No,15-04-1961,House,AllPub,Paved,RH,263599,64435,5857750
P01690,KK Nagar,1667,26-02-2012,126,2,1,4,Partial,Yes,27-02-2007,House,NoSeWa,Paved,RM,364810,268243,10729700
P07753,KK Nagar,1926,12/8/2008,49,3,2,5,Family,Yes,15-08-1999,Commercial,NoSeWa,Paved,RM,816325,153061,17006780
P08611,Adyar,718,23-10-2007,75,1,1,2,Partial,Yes,30-10-1977,Others,ELO,No Access,C,211662,55701,5570050
P01934,Karapakkam,545,12/1/2012,154,1,1,2,Partial,No,19-01-1982,Others,ELO,No Access,RH,165738,88651,3854375
P06326,Karapakkam,1249,12/9/2009,25,1,1,3,AdjLand,Yes,21-09-1973,Others,ELO,Gravel,RH,318010,120328,8594875
P00865,T Nagar,1894,8/6/2013,187,2,1,5,Partial,Yes,19-06-1968,House,NoSewr ,Gravel,RL,406478,162591,13549250
P02088,Karapakkam,1469,12/12/2011,200,2,2,4,AbNormal,No,13-12-2006,Commercial,NoSewr ,No Access,C,284423,132731,9480750
P07770,Adyar,916,8/8/2008,32,1,1,3,Normal Sale,Yes,15-08-1980,House,ELO,No Access,A,228053,23390,5847520
P08118,Chrompet,934,20-04-2008,11,1,1,3,AdjLand,Yes,26-04-1986,House,NoSeWa,Paved,RM,310749,58265,9710900
P03221,Karapakkam,1691,2/5/2011,100,2,2,4,AbNormal,No,9/5/1980,House,NoSeWa,Gravel,RM,319558,178576,9398750
P03273,Karapakkam,1236,21-04-2011,36,1,1,3,Normal Sale,No,30-04-1972,Commercial,NoSewr ,Paved,I,334638,114481,8806250
P08667,T Nagar,1577,28-09-2007,23,1,1,4,Partial,Yes,7/10/1971,Others,NoSeWa,Paved,RH,302183,193397,12087330
P03791,Anna Nagar,1915,10/1/2011,13,2,1,5,Partial,Yes,20-01-1970,Others,NoSeWa,Gravel,RH,354391,170107,14175620
P01247,Anna Nagar,1600,30-09-2012,154,1,1,4,Family,Yes,6/10/1991,House,ELO,Gravel,RH,309941,166891,11920820
P02391,Velachery,1579,14-10-2011,58,2,1,4,AbNormal,Yes,20-10-1987,Commercial,ELO,Paved,I,467766,240565,13364730
P07825,Adyar,1260,21-07-2008,89,2,2,4,Partial,No,28-07-1983,Others,NoSeWa,No Access,A,256150,34615,6922975
P05787,Adyar,1021,22-12-2009,176,1,1,3,Normal Sale,No,23-12-2004,Commercial,NoSeWa,Paved,I,361868,175098,11673175
P02285,KK Nagar,2174,31-10-2011,48,3,2,5,Family,Yes,5/11/1988,Others,AllPub,Paved,RM,548929,313674,13069740
P05304,Anna Nagar,1589,22-03-2010,39,1,,4,Partial,No,2/4/1966,Others,AllPub,Gravel,RL,451857,85486,12212350
P05309,Adyar,668,21-03-2010,177,1,1,2,AbNormal,Yes,22-03-2005,Commercial,NoSeWa,Gravel,I,329074,102836,10283575
P09664,Velachery,1724,9/4/2006,116,2,1,4,AbNormal,Yes,22-04-1952,House,ELO,No Access,RL,358259,152260,8956480
P02813,Adyar,890,20-07-2011,116,1,1,3,AbNormal,Yes,27-07-1981,House,NoSewr ,Paved,C,251557,43124,7187350
P08933,Adyar,1218,13-06-2007,51,2,2,4,Normal Sale,No,20-06-1977,Commercial,AllPub,No Access,I,377246,138323,12574850
P03590,Anna Nagar,1792,21-02-2011,41,1,1,4,Family,Yes,26-02-1990,House,ELO,Gravel,RM,514532,250313,13906270
P01725,Karapakkam,1378,19-02-2012,192,2,2,4,AdjLand,No,21-02-2003,Others,NoSewr ,Gravel,RM,297525,208268,9917500
P06570,Karapakkam,898,22-07-2009,72,1,1,3,Partial,Yes,29-07-1980,Commercial,NoSewr ,Paved,RH,345190,215744,8629750
P02686,Anna Nagar,1928,18-08-2011,148,2,1,5,Partial,No,20-08-2001,House,AllPub,No Access,RH,466682,105003,11667050
P07789,Chrompet,1233,2/8/2008,24,2,1,4,AbNormal,No,11/8/1975,House,NoSeWa,Gravel,RM,245429,107989,9817150
P08836,Velachery,1618,30-07-2007,100,2,1,4,AdjLand,Yes,9/8/1967,Others,NoSewr ,Paved,C,370522,92631,9263050
P02716,Karapakkam,627,12/8/2011,49,1,1,2,Family,No,19-08-1983,House,NoSewr ,Gravel,RM,223975,92225,6587500
P09780,Velachery,1563,16-08-2005,43,2,1,4,Family,No,23-08-1977,House,NoSeWa,Gravel,RM,303780,195987,9799360
P06528,Karapakkam,1693,30-07-2009,187,2,2,4,Normal Sale,Yes,1/8/2003,Commercial,NoSewr ,Gravel,C,384045,166420,12801500
P06989,T Nagar,1522,30-03-2009,85,1,1,4,Partial,No,10/4/1966,Commercial,AllPub,Gravel,RL,506181,174545,17454510
P07824,Adyar,1090,21-07-2008,171,1,1,3,Partial,Yes,28-07-1980,Others,NoSeWa,Gravel,RH,373632,98324,9832420
P00545,Chrompet,1085,19-01-2014,149,1,1,3,AbNormal,Yes,21-01-2008,Commercial,NoSewr ,Gravel,RL,387815,100545,14363500
P06461,T Nagar,1687,13-08-2009,73,1,1,4,AbNormal,No,16-08-1996,Others,NoSewr ,Paved,RH,411733,224582,12476770
P07650,Adyar,692,12/9/2008,62,1,1,2,Normal Sale,Yes,22-09-1971,Commercial,AllPub,Paved,RH,394491,124576,10381355
P07887,T Nagar,1518,3/7/2008,145,1,1,4,Family,Yes,13-07-1971,Commercial,AllPub,Paved,RH,457606,158402,17600240
P08050,Adyar,1025,10/5/2008,125,1,1,3,Partial,No,17-05-1983,Commercial,NoSeWa,Paved,I,349916,142153,10934875
P04677,KK Nagar,2170,20-07-2010,121,3,2,5,Family,Yes,22-07-2002,House,NoSewr ,Gravel,RL,593864,284560,12372160
P03124,Chrompet,969,23-05-2011,70,1,1,3,Family,Yes,27-05-1994,Commercial,ELO,No Access,RH,337463,146234,11248750
P08147,KK Nagar,1546,9/4/2008,129,2,1,4,AbNormal,No,16-04-1981,Commercial,AllPub,Gravel,RM,441475,142411,14241140
P06097,KK Nagar,1709,24-10-2009,6,2,1,4,AbNormal,Yes,29-10-1989,House,NoSeWa,Paved,RL,467388,233694,10160600
P00959,T Nagar,1659,7/4/2013,103,1,1,4,AdjLand,Yes,12/4/1995,Others,NoSeWa,No Access,RL,433251,216625,13539080
P00057,Chrompet,755,9/1/2015,8,1,1,2,Normal Sale,No,17-01-1982,Commercial,ELO,Gravel,RM,289649,42911,10727750
P08607,Adyar,1182,24-10-2007,50,1,1,3,Normal Sale,Yes,28-10-1990,House,AllPub,No Access,RL,374948,39468,9867055
P01632,Adyar,735,6/3/2012,67,1,1,2,AdjLand,No,10/3/1998,Commercial,NoSeWa,No Access,RH,284361,132702,9478710
P00937,Chrompet,1089,19-04-2013,0,1,1,3,Normal Sale,Yes,27-04-1981,House,ELO,Paved,RL,235305,45251,9050200
P09868,Velachery,1534,4/1/2005,6,2,1,4,Partial,Yes,18-01-1952,Others,ELO,Paved,C,284552,63234,7904210
P08848,Anna Nagar,1622,26-07-2007,147,1,1,4,Family,Yes,27-07-2002,House,ELO,Gravel,RL,378840,209015,13063450
P07681,KK Nagar,2198,4/9/2008,71,3,2,5,Partial,Yes,10/9/1987,Others,NoSewr ,Gravel,RM,679249,122265,13584980
P00407,Chrompet,1293,9/5/2014,34,2,1,4,Normal Sale,No,19-05-1975,Commercial,ELO,No Access,RL,419714,157393,13116050
P06126,KK Nagar,1641,17-10-2009,178,2,1,4,Partial,No,24-10-1980,Others,AllPub,Gravel,RL,460580,190239,10012600
P09763,Velachery,1950,3/9/2005,185,3,2,5,AdjLand,Yes,13-09-1964,Others,NoSeWa,Paved,RL,411601,84741,12105920
P02652,Karapakkam,1245,26-08-2011,106,1,1,3,Partial,No,2/9/1983,Others,NoSeWa,Paved,A,201653,113123,4918375
P06329,Chrompet,905,12/9/2009,144,1,1,3,Family,No,20-09-1976,Others,ELO,Gravel,RH,223393,77032,7703200
P01701,KK Nagar,1496,24-02-2012,135,2,1,4,Family,No,27-02-1998,House,NoSewr ,Gravel,RH,265641,137105,8569080
P09722,Velachery,1892,22-11-2005,38,3,2,5,AdjLand,Yes,1/12/1969,House,ELO,Gravel,RM,449425,133613,12146620
P04743,Velachery,1517,5/7/2010,40,2,1,4,Family,No,8/7/1999,Commercial,ELO,Paved,C,408507,116716,11671620
P06768,Adyar,1034,30-05-2009,73,1,1,3,AdjLand,Yes,3/6/1993,Others,ELO,Gravel,C,277702,46284,9256740
P06746,Velachery,1755,6/6/2009,142,2,1,4,Family,Yes,15-06-1974,Commercial,NoSewr ,Gravel,I,581720,193907,14915900
P00934,Anna Nagar,1622,20-04-2013,79,1,1,4,AdjLand,Yes,22-04-2006,House,NoSeWa,Paved,RM,406434,243860,13547790
P00899,Chrompet,1092,13-05-2013,89,1,1,3,Normal Sale,No,14-05-2009,Others,AllPub,No Access,RH,246391,57491,8213040
P00566,Chrompet,821,2/1/2014,34,1,1,3,AdjLand,No,4/1/2006,House,NoSeWa,Paved,RH,182600,65736,7304000
P07878,KK Nagar,1694,7/7/2008,72,2,1,4,Family,No,10/7/1997,Others,NoSeWa,Gravel,RL,353291,114300,10390900
P05305,Anna Nagar,1809,22-03-2010,177,2,1,5,Family,No,28-03-1984,Commercial,AllPub,No Access,RL,518585,230482,19206870
P02252,Karapakkam,1401,5/11/2011,20,2,2,4,Partial,Yes,8/11/1997,Others,AllPub,Gravel,RL,438477,229204,9965375
P03571,Karapakkam,1470,26-02-2011,99,2,2,4,AbNormal,No,4/3/1986,Others,NoSewr ,No Access,RH,302694,172968,7207000
P00942,Chrompet,798,15-04-2013,166,1,1,2,Partial,No,24-04-1976,Commercial,NoSewr ,Paved,RH,253975,145129,9070550
P08304,Chrompet,764,21-02-2008,137,1,1,2,Partial,No,23-02-2000,House,ELO,No Access,RH,158766,90723,5670200
P07597,Chrompet,1135,25-09-2008,50,1,1,3,AbNormal,No,1/10/1985,Others,NoSewr ,No Access,RM,296102,148051,9253200
P06565,Karapakkam,939,23-07-2009,74,1,1,3,AbNormal,No,2/8/1971,House,ELO,No Access,I,214700,38646,4294000
P06398,Karapakkam,1586,27-08-2009,59,2,2,4,Normal Sale,Yes,3/9/1981,Commercial,NoSewr ,Gravel,RM,586956,200424,14316000
P09293,T Nagar,1973,29-01-2007,63,2,1,5,Family,Yes,7/2/1972,Commercial,AllPub,Gravel,RM,885666,116535,23307000
P09021,Chrompet,1023,11/5/2007,44,1,1,3,Partial,Yes,15-05-1990,House,AllPub,Pavd,RM,282319,38941,9735150
P04325,Chrompet,884,22-09-2010,75,1,1,3,Normal Sale,No,23-09-2006,Commercial,NoSewr ,No Access,RM,283410,45346,11336400
P05031,Anna Nagar,1640,14-05-2010,113,1,1,4,AdjLand,No,15-05-2005,Commercial,ELO,No Access,RH,495645,194718,17701600
P08918,Adyar,622,20-06-2007,60,1,1,2,Normal Sale,No,25-06-1987,Others,ELO,No Access,RL,216906,72302,6572900
P05947,Anna Nagar,1880,23-11-2009,90,2,1,5,Partial,Yes,27-11-1993,House,NoSeWa,No Access,RM,483229,214768,13423020
P05350,KK Nagar,2413,13-03-2010,166,4,2,6,AbNormal,No,15-03-2001,Others,NoSeWa,Paved,RM,419905,170587,13122040
P07092,T Nagar,1649,28-02-2009,169,1,1,4,AdjLand,No,6/3/1984,Commercial,AllPub,Gravel,RH,681808,113635,18939100
P08337,Velachery,1729,8/2/2008,144,2,1,4,Partial,Yes,18-02-1967,Commercial,NoSewr ,Paved,A,396911,128036,12803570
P00089,T Nagar,1942,20-12-2014,10,2,1,5,Family,No,29-12-1977,House,NoSeWa,Gravel,RH,320599,61654,12330740
P00403,Chrompet,711,12/5/2014,116,1,1,2,AdjLand,Yes,15-05-2002,Others,NoSeWa,No Access,RL,249558,64402,8050270
P00717,Chrompet,885,19-09-2013,122,1,1,3,Family,No,27-09-1981,House,ELO,No Access,RM,237422,107919,7194600
P06064,KK Nagar,1688,30-10-2009,148,2,1,4,AbNormal,Yes,3/11/1994,House,NoSewr ,Gravel,RM,547810,285318,11412700
P08625,Adyar,1236,17-10-2007,108,2,2,4,Family,No,26-10-1970,Commercial,ELO,Gravel,A,481414,24071,12035355
P02917,Karapakkam,926,29-06-2011,98,1,1,3,Family,No,4/7/1991,House,ELO,Gravel,RL,288834,68770,6877000
P06881,KK Nagar,1686,30-04-2009,57,2,1,4,AbNormal,No,6/5/1985,Others,NoSeWa,Paved,RM,382817,196582,10346400
P05823,Karapakkam,1344,16-12-2009,129,2,2,4,AdjLand,No,29-12-1959,Commercial,NoSewr ,Gravel,RH,453999,259428,10809500
P01492,KK Nagar,1437,2/4/2012,104,2,1,4,Family,No,8/4/1989,Others,AllPub,Gravel,RM,489629,102006,10200600
P06226,Karapakkam,1430,2/10/2009,17,2,2,4,AbNormal,Yes,5/10/1999,Others,NoSewr ,No Access,A,238887,106172,6635750
P07481,Adyar,1081,26-10-2008,85,1,1,3,Family,No,3/11/1978,House,AllPub,No Access,C,241416,6190,6190150
P05518,Karapakkam,1352,9/2/2010,1,2,2,4,Normal Sale,Yes,16-02-1983,House,ELO,Gravel,A,240768,123638,6507250
P06801,KK Nagar,1986,19-05-2009,109,3,2,5,Normal Sale,No,27-05-1979,House,AllPub,Gravel,RM,476717,227008,11350400
P07373,Anna Nagar,1758,5/12/2008,164,1,1,4,Partial,Yes,16-12-1966,Commercial,AllPub,No Access,RL,713565,231426,19285540
P04399,Karapakkam,607,8/9/2010,121,1,1,2,Normal Sale,No,19-09-1964,Other,NoSeWa,Gravel,RL,175699,117133,5856625
P07490,KK Nagar,2139,24-10-2008,136,3,2,5,Normal Sale,Yes,30-10-1987,Others,NoSewr ,Paved,RL,424048,249440,12472000
P05417,KK Nagar,1488,28-02-2010,97,2,1,4,Partial,No,7/3/1983,Others,AllPub,Paved,RH,405211,202606,8441900
P09702,Velachery,1645,27-01-2006,96,2,1,4,Partial,No,3/2/1980,House,NoSeWa,No Access,RH,250118,75793,7579320
P05869,Chrompet,950,7/12/2009,177,1,1,3,Normal Sale,Yes,14-12-1983,Others,NoSeWa,Gravel,RL,273252,146385,9759000
P00534,Chrompet,928,25-01-2014,90,1,1,3,Partial,Yes,26-01-2010,Commercial,AllPub,Gravel,RH,409985,62119,12423800
P07334,Velachery,1693,17-12-2008,145,2,1,4,Normal Sale,Yes,31-12-1955,Commercial,NoSewr ,Paved,RM,604335,108470,15495760
P08511,Velachery,1873,2/12/2007,0,3,2,5,Family,Yes,7/12/1986,Others,ELO,No Access,RL,363735,198401,11022270
P04112,Adyar,721,4/11/2010,145,1,1,2,Partial,No,6/11/2000,Others,NoSeWa,Paved,RL,273800,60844,7605550
P02262,Karapakkam,1190,3/11/2011,37,1,1,3,Family,Yes,10/11/1982,House,NoSewr ,Gravel,RH,342613,127484,7967750
P03305,KK Nagar,1593,17-04-2011,9,2,1,4,Partial,No,21-04-1994,Others,AllPub,Paved,RH,402606,223670,8946800
P05447,Chrompet,786,22-02-2010,181,1,1,2,AbNormal,Yes,25-02-1998,Others,ELO,Gravel,RL,249610,83203,9244820
P02126,Chrompet,1195,6/12/2011,93,1,1,3,AdjLand,No,10/12/1992,Others,NoSeWa,Paved,RL,265183,29465,9821600
P06964,Velachery,1824,3/4/2009,187,3,2,5,Normal Sale,No,11/4/1976,House,NoSewr ,Paved,I,273570,76942,8549060
P08195,KK Nagar,1906,26-03-2008,81,3,2,5,AbNormal,Yes,28-03-2001,Commercial,NoSeWa,Paved,RH,792637,206086,15852740
P04311,Adyar,656,24-09-2010,20,1,1,2,AbNormal,No,26-09-2001,Commercial,AllPub,Paved,I,280244,113849,8757635
P08974,Chrompet,727,28-05-2007,84,1,1,2,AbNormal,No,1/6/1991,Others,ELO,Gravel,RM,218816,100992,8415990
P04824,Adyar,931,24-06-2010,37,1,1,3,Family,Yes,2/7/1977,Others,ELO,Paved,RM,367617,19871,9935595
P09337,Velachery,1898,12/1/2007,108,3,2,5,AdjLand,Yes,21-01-1969,Commercial,ELO,No Access,RM,581625,332357,16617860
P08903,Anna Nagar,1698,27-06-2007,15,1,1,4,Family,No,7/7/1967,House,NoSeWa,Gravel,RM,359949,198593,12412050
P08975,T Nagar,1926,27-05-2007,193,2,1,5,AdjLand,Yes,31-05-1990,Commercial,NoSewr ,No Access,RM,633655,203675,22630540
P03906,Karapakkam,1481,17-12-2010,144,2,2,4,Partial,Yes,26-12-1972,Commercial,AllPub,Paved,A,485174,178227,9901500
P08737,Anna Nagar,1506,6/9/2007,122,1,1,4,Family,No,14-09-1974,House,ELO,No Access,RM,417996,177648,10449910
P00163,Chrompet,1020,1/11/2014,95,1,1,3,Family,No,7/11/1990,House,NoSeWa,No Access,RM,206664,31794,7948600
P07499,Chrompet,889,21-10-2008,196,1,1,3,AbNormal,No,27-10-1987,Others,ELO,Gravel,RM,300256,136480,9098680
P01939,Chrompet,1015,11/1/2012,147,1,1,3,Family,Yes,19-01-1977,House,AllPub,Paved,RH,275314,66743,8342850
P03550,T Nagar,1682,4/3/2011,78,1,1,4,AbNormal,No,12/3/1976,Commercial,AllPub,Gravel,RH,690507,111974,18662350
P00920,Chrompt,869,1/5/2013,39,1,1,3,Family,No,6/5/1995,Others,NoSewr ,No Access,RM,220661,138935,8172630
P01500,Karapakkam,1445,29-03-2012,20,2,2,4,Family,No,4/4/1988,House,NoSeWa,No Access,I,216691,87848,5856500
P00340,Anna Nagar,1919,25-06-2014,178,2,1,5,Partial,Yes,28-06-2001,House,NoSeWa,Gravel,RM,544054,117633,14704160
P02832,Adyar,1243,17-07-2011,141,2,2,4,Normal Sale,Yes,26-07-1975,Commercial,NoSeWa,Paved,C,440895,26721,13360440
P04417,Karapakkam,857,5/9/2010,158,1,1,2,Normal Sale,No,9/9/1993,House,ELO,Paved,I,236556,59139,4928250
P05246,Karapakkam,1055,3/4/2010,174,1,1,3,AdjLand,Yes,15-04-1962,Others,NoSeWa,Gravel,I,226769,117042,7315125
P02863,KK Nagar,1778,10/7/2011,94,3,2,5,Family,No,12/7/2003,Others,NoSewr ,Gravel,RL,340948,153976,10998320
P03006,Karapakkam,851,15-06-2011,124,1,1,2,AdjLand,No,25-06-1970,Others,ELO,Paved,A,181073,39364,3936375
P08264,Chrompet,1021,6/3/2008,82,1,1,3,Partial,Yes,7/3/2004,Others,NoSewr ,No Access,RL,276053,147228,9201770
P04420,KK Nagar,2203,4/9/2010,76,3,2,5,AbNormal,Yes,9/9/1988,Commercial,NoSewr ,Paved,RL,572520,339934,17891240
P04928,Karapakkam,613,1/6/2010,81,1,1,2,Family,No,8/6/1980,Commercial,NoSewr ,No Access,I,195491,66879,5144500
P08752,Adyar,738,2/9/2007,69,1,1,2,Partial,No,6/9/1989,Commercial,NoSewr ,No Access,I,324194,8313,8312670
P03833,Karapakkam,1489,3/1/2011,177,2,2,4,AdjLand,No,10/1/1982,House,ELO,Gravel,RH,384348,200181,8007250
P06156,Karapakkam,795,11/10/2009,73,1,1,2,AbNormal,Yes,13-10-2000,House,NoSewr ,Gravel,RM,254378,127189,8479250
P01763,Velachery,1909,11/2/2012,11,3,2,5,Family,Yes,19-02-1979,Others,AllPub,Gravel,A,303875,212712,10129160
P02399,Chrompet,1252,12/10/2011,190,2,1,4,Family,No,15-10-1999,House,AllPub,No Access,RM,265502,47411,9482200
P03260,Karapakkam,1077,24-04-2011,144,1,1,3,AbNormal,No,2/5/1978,Commercial,ELO,Paved,RM,305249,246169,9846750
P08138,KK Nagar,1524,11/4/2008,73,2,1,4,Normal Sale,No,18-04-1981,Others,NoSewr ,Paved,RH,303654,208220,8675820
P07941,Chrompet,1049,16-06-2008,36,1,1,3,Partial,Yes,19-06-1997,House,ELO,Gravel,RM,328398,133412,10262450
P08181,Velachery,1780,29-03-2008,194,2,1,4,AbNormal,No,12/4/1953,Others,AllPub,Gravel,C,329500,130066,8671050
P07510,Chrompet,946,18-10-2008,14,1,1,3,AdjLand,No,23-10-1991,Commercial,ELO,No Access,RL,368463,111656,11165550
P07420,Chrompet,906,18-11-2008,116,1,1,3,Partial,Yes,26-11-1976,House,NoSewr ,Gravel,RM,302874,28394,9464800
P04010,KK Nagar,2344,25-11-2010,71,4,2,6,AbNormal,No,1/12/1986,Commercial,NoSeWa,Gravel,RM,622046,471247,18849880
